venue,cc4,amount,ts
Brew've Been Served,4795,11.34,2014-01-06 07:28
Hallowed Grounds,7108,52.22,2014-01-06 07:34
Brew've Been Served,6816,8.33,2014-01-06 07:35
Hallowed Grounds,9617,16.72,2014-01-06 07:36
Brew've Been Served,7384,4.24,2014-01-06 07:37
Brew've Been Served,5368,4.17,2014-01-06 07:38
Coffee Cameleon,7253,28.73,2014-01-06 07:42
Brew've Been Served,4948,9.6,2014-01-06 07:43
Brew've Been Served,9683,16.9,2014-01-06 07:43
Hallowed Grounds,8129,16.53,2014-01-06 07:47
Hallowed Grounds,3492,10.66,2014-01-06 07:48
Coffee Cameleon,5921,8.39,2014-01-06 07:49
Brew've Been Served,9405,32.83,2014-01-06 07:52
Hallowed Grounds,7889,16.88,2014-01-06 07:54
Coffee Cameleon,2142,11.86,2014-01-06 07:54
Hallowed Grounds,2681,32.93,2014-01-06 07:54
Hallowed Grounds,9551,8.05,2014-01-06 07:55
Brew've Been Served,3484,3.67,2014-01-06 07:55
Brew've Been Served,7819,8.88,2014-01-06 07:59
Brew've Been Served,5407,4.27,2014-01-06 08:00
Hallowed Grounds,6691,9.69,2014-01-06 08:00
Hallowed Grounds,1874,10.07,2014-01-06 08:01
Brew've Been Served,3853,18.24,2014-01-06 08:06
Brew've Been Served,4434,15.58,2014-01-06 08:06
Brew've Been Served,6901,5.66,2014-01-06 08:07
Coffee Cameleon,2418,3.2,2014-01-06 08:14
Brew've Been Served,1286,14.97,2014-01-06 08:16
Brew've Been Served,8411,11.2,2014-01-06 08:16
Brew've Been Served,8202,15.39,2014-01-06 08:17
Abila Airport,9220,4540.08,2014-01-06 08:23
Kronos Pipe and Irrigation,9220,242.21,2014-01-06 09:06
Nationwide Refinery,9735,761.64,2014-01-06 10:02
Maximum Iron and Steel,9220,2859.51,2014-01-06 10:18
Stewart and Sons Fabrication,9735,2144.62,2014-01-06 11:33
Carlyle Chemical Inc.,9220,3959.66,2014-01-06 11:57
Coffee Shack,7117,51.51,2014-01-06 12:00
Bean There Done That,1415,10.28,2014-01-06 12:00
Bean There Done That,9635,16.09,2014-01-06 12:00
Brewed Awakenings,7688,5.72,2014-01-06 12:00
Jack's Magical Beans,6899,11.03,2014-01-06 12:00
Brewed Awakenings,2540,16.89,2014-01-06 12:00
Bean There Done That,1877,8.54,2014-01-06 12:00
Brewed Awakenings,8332,4.35,2014-01-06 12:00
Bean There Done That,1321,5.24,2014-01-06 12:00
Bean There Done That,6895,4.27,2014-01-06 12:00
Jack's Magical Beans,9241,18.59,2014-01-06 12:00
Jack's Magical Beans,8156,27.84,2014-01-06 12:00
Jack's Magical Beans,2463,18.1,2014-01-06 12:00
Abila Airport,8642,1873.79,2014-01-06 12:16
Katerina's Cafe,8332,13.68,2014-01-06 12:56
Hippokampos,8156,9.16,2014-01-06 12:57
Abila Zacharo,2418,106.93,2014-01-06 13:18
Gelatogalore,7253,12.74,2014-01-06 13:19
Kalami Kafenion,3484,70.1,2014-01-06 13:19
Hippokampos,6691,34.03,2014-01-06 13:20
Hippokampos,9551,28.23,2014-01-06 13:21
Ouzeri Elian,2540,38.9,2014-01-06 13:22
Hippokampos,4795,13.26,2014-01-06 13:23
Guy's Gyros,1415,15.44,2014-01-06 13:24
Abila Zacharo,7688,30.08,2014-01-06 13:27
Abila Zacharo,1286,50.14,2014-01-06 13:27
Katerina's Cafe,8411,33.54,2014-01-06 13:28
Kalami Kafenion,5407,8.64,2014-01-06 13:28
Guy's Gyros,7384,16.92,2014-01-06 13:30
Hippokampos,2681,36.54,2014-01-06 13:35
Abila Zacharo,7354,92.05,2014-01-06 13:35
Ouzeri Elian,6816,20.56,2014-01-06 13:37
