venue,cc_n,loyal_n
Katerina's Cafe,212,195
Hippokampos,171,155
Guy's Gyros,158,146
Brew've Been Served,156,140
Ouzeri Elian,87,84
Hallowed Grounds,92,80
Abila Zacharo,72,71
Kalami Kafenion,64,66
Gelatogalore,64,60
Bean There Done That,47,45
Frydos Autosupply n' More,47,42
Coffee Cameleon,38,37
Jack's Magical Beans,37,35
Brewed Awakenings,30,29
Abila Airport,25,26
Albert's Fine Clothing,25,25
Nationwide Refinery,24,23
Carlyle Chemical Inc.,19,19
Shoppers' Delight,20,18
Stewart and Sons Fabrication,18,17
General Grocer,10,12
Coffee Shack,8,9
Kronos Mart,10,8
Desafio Golf Course,8,8
Chostus Hotel,9,8
Ahaggo Museum,6,6
Roberts and Sons,8,6
Maximum Iron and Steel,6,6
Kronos Pipe and Irrigation,6,6
Abila Scrapyard,4,4
Octavio's Office Supplies,4,3
Frank's Fuel,2,2
U-Pump,2,1
