last4ccnum,location,price,timestamp
4795,Brew've Been Served,11.34,01/06/2014 07:28
7108,Hallowed Grounds,52.22,01/06/2014 07:34
6816,Brew've Been Served,8.33,01/06/2014 07:35
9617,Hallowed Grounds,16.72,01/06/2014 07:36
7384,Brew've Been Served,4.24,01/06/2014 07:37
5368,Brew've Been Served,4.17,01/06/2014 07:38
7253,Coffee Cameleon,28.73,01/06/2014 07:42
4948,Brew've Been Served,9.6,01/06/2014 07:43
9683,Brew've Been Served,16.9,01/06/2014 07:43
8129,Hallowed Grounds,16.53,01/06/2014 07:47
3492,Hallowed Grounds,10.66,01/06/2014 07:48
5921,Coffee Cameleon,8.39,01/06/2014 07:49
9405,Brew've Been Served,32.83,01/06/2014 07:52
7889,Hallowed Grounds,16.88,01/06/2014 07:54
2142,Coffee Cameleon,11.86,01/06/2014 07:54
2681,Hallowed Grounds,32.93,01/06/2014 07:54
9551,Hallowed Grounds,8.05,01/06/2014 07:55
3484,Brew've Been Served,3.67,01/06/2014 07:55
7819,Brew've Been Served,8.88,01/06/2014 07:59
5407,Brew've Been Served,4.27,01/06/2014 08:00
6691,Hallowed Grounds,9.69,01/06/2014 08:00
1874,Hallowed Grounds,10.07,01/06/2014 08:01
3853,Brew've Been Served,18.24,01/06/2014 08:06
4434,Brew've Been Served,15.58,01/06/2014 08:06
6901,Brew've Been Served,5.66,01/06/2014 08:07
2418,Coffee Cameleon,3.2,01/06/2014 08:14
1286,Brew've Been Served,14.97,01/06/2014 08:16
8411,Brew've Been Served,11.2,01/06/2014 08:16
8202,Brew've Been Served,15.39,01/06/2014 08:17
9220,Abila Airport,4540.08,01/06/2014 08:23
9220,Kronos Pipe and Irrigation,242.21,01/06/2014 09:06
9735,Nationwide Refinery,761.64,01/06/2014 10:02
9220,Maximum Iron and Steel,2859.51,01/06/2014 10:18
9735,Stewart and Sons Fabrication,2144.62,01/06/2014 11:33
9220,Carlyle Chemical Inc.,3959.66,01/06/2014 11:57
7117,Coffee Shack,51.51,01/06/2014 12:00
1415,Bean There Done That,10.28,01/06/2014 12:00
9635,Bean There Done That,16.09,01/06/2014 12:00
7688,Brewed Awakenings,5.72,01/06/2014 12:00
6899,Jack's Magical Beans,11.03,01/06/2014 12:00
2540,Brewed Awakenings,16.89,01/06/2014 12:00
1877,Bean There Done That,8.54,01/06/2014 12:00
8332,Brewed Awakenings,4.35,01/06/2014 12:00
1321,Bean There Done That,5.24,01/06/2014 12:00
6895,Bean There Done That,4.27,01/06/2014 12:00
9241,Jack's Magical Beans,18.59,01/06/2014 12:00
8156,Jack's Magical Beans,27.84,01/06/2014 12:00
2463,Jack's Magical Beans,18.1,01/06/2014 12:00
8642,Abila Airport,1873.79,01/06/2014 12:16
8332,Katerina's Cafe,13.68,01/06/2014 12:56
8156,Hippokampos,9.16,01/06/2014 12:57
2418,Abila Zacharo,106.93,01/06/2014 13:18
7253,Gelatogalore,12.74,01/06/2014 13:19
3484,Kalami Kafenion,70.1,01/06/2014 13:19
6691,Hippokampos,34.03,01/06/2014 13:20
9551,Hippokampos,28.23,01/06/2014 13:21
2540,Ouzeri Elian,38.9,01/06/2014 13:22
4795,Hippokampos,13.26,01/06/2014 13:23
1415,Guy's Gyros,15.44,01/06/2014 13:24
7688,Abila Zacharo,30.08,01/06/2014 13:27
1286,Abila Zacharo,50.14,01/06/2014 13:27
8411,Katerina's Cafe,33.54,01/06/2014 13:28
5407,Kalami Kafenion,8.64,01/06/2014 13:28
7384,Guy's Gyros,16.92,01/06/2014 13:30
2681,Hippokampos,36.54,01/06/2014 13:35
7354,Abila Zacharo,92.05,01/06/2014 13:35
6816,Ouzeri Elian,20.56,01/06/2014 13:37
1310,Guy's Gyros,11.22,01/06/2014 13:39
7889,Gelatogalore,22.64,01/06/2014 13:41
6895,Ouzeri Elian,20.4,01/06/2014 13:42
9635,Guy's Gyros,30.82,01/06/2014 13:46
6899,Katerina's Cafe,18.56,01/06/2014 13:46
2463,Guy's Gyros,99.67,01/06/2014 13:46
1321,Kalami Kafenion,22.13,01/06/2014 13:47
5368,Ouzeri Elian,20.74,01/06/2014 13:48
5921,Ouzeri Elian,30.87,01/06/2014 13:48
1874,Katerina's Cafe,13.59,01/06/2014 13:50
9617,Katerina's Cafe,32.64,01/06/2014 13:50
