loyaltynum,location,price,timestamp
L2247,Brew've Been Served,4.17,01/06/2014
L9406,Brew've Been Served,9.6,01/06/2014
L8328,Hallowed Grounds,16.53,01/06/2014
L6417,Coffee Shack,11.51,01/06/2014
L1107,Hallowed Grounds,12.93,01/06/2014
L4034,Brew've Been Served,4.27,01/06/2014
L6110,Brew've Been Served,11.2,01/06/2014
L2343,Brew've Been Served,15.39,01/06/2014
L9018,Abila Zacharo,26.93,01/06/2014
L6267,Hippokampos,34.03,01/06/2014
L4034,Kalami Kafenion,8.64,01/06/2014
L6110,Katerina’s Café,33.54,01/06/2014
L1107,Hippokampos,36.54,01/06/2014
L2247,Ouzeri Elian,20.74,01/06/2014
L6417,Kalami Kafenion,13.08,01/06/2014
L2343,Hippokampos,38.25,01/06/2014
L9406,Hippokampos,30.88,01/06/2014
L8328,Kalami Kafenion,27.4,01/06/2014
L6110,Katerina’s Café,38.65,01/06/2014
L8328,Katerina’s Café,26.46,01/06/2014
L2343,Frydos Autosupply n' More,80.85,01/06/2014
L2247,Frydos Autosupply n' More,175.87,01/06/2014
L6267,Katerina’s Café,28,01/06/2014
L6417,Hippokampos,24.41,01/06/2014
L4034,Frydos Autosupply n' More,89.3,01/06/2014
L9406,Katerina’s Café,26.51,01/06/2014
L2247,Brew've Been Served,12.74,01/07/2014
L8328,Hallowed Grounds,8.91,01/07/2014
L6417,Coffee Shack,16.63,01/07/2014
L4034,Brew've Been Served,4.39,01/07/2014
L9406,Brew've Been Served,11.91,01/07/2014
L1107,Hallowed Grounds,8.42,01/07/2014
L9018,Coffee Cameleon,12.44,01/07/2014
L2343,Brew've Been Served,17.4,01/07/2014
L6267,Hallowed Grounds,10.33,01/07/2014
L6110,Brew've Been Served,15.66,01/07/2014
L4034,Kalami Kafenion,11.64,01/07/2014
L9406,Ouzeri Elian,28.37,01/07/2014
L2247,Ouzeri Elian,17.71,01/07/2014
L9018,Abila Zacharo,32.4,01/07/2014
L1107,Gelatogalore,36.5,01/07/2014
L6110,Ouzeri Elian,21.85,01/07/2014
L2343,Katerina’s Café,37.44,01/07/2014
L6267,Gelatogalore,15.4,01/07/2014
L8328,Hippokampos,37.57,01/07/2014
L6417,Albert's Fine Clothing,78.91,01/07/2014
L6110,Katerina’s Café,31.6,01/07/2014
L2343,Katerina’s Café,25.02,01/07/2014
L2247,Guy's Gyros,23.12,01/07/2014
L6267,Katerina’s Café,25.54,01/07/2014
L1107,Ouzeri Elian,20.53,01/07/2014
L8328,Hallowed Grounds,5.85,01/08/2014
L9406,Brew've Been Served,3.09,01/08/2014
L1107,Hallowed Grounds,3.9,01/08/2014
L6417,Coffee Shack,13.13,01/08/2014
L2247,Brew've Been Served,14.88,01/08/2014
L4034,Brew've Been Served,8.4,01/08/2014
L2343,Brew've Been Served,3.92,01/08/2014
L6267,Hallowed Grounds,11.63,01/08/2014
L6110,Brew've Been Served,11.48,01/08/2014
L9018,Coffee Cameleon,16.17,01/08/2014
L4034,Abila Zacharo,22.13,01/08/2014
L6110,Gelatogalore,32.79,01/08/2014
L6267,Kalami Kafenion,18.18,01/08/2014
L2343,Kalami Kafenion,22.49,01/08/2014
L2247,Ouzeri Elian,24.92,01/08/2014
L1107,Abila Zacharo,28.25,01/08/2014
L9018,Gelatogalore,22.27,01/08/2014
L6417,Kalami Kafenion,34.98,01/08/2014
L9406,Gelatogalore,39.94,01/08/2014
L8328,Kalami Kafenion,31.43,01/08/2014
L4034,Katerina’s Café,34.25,01/08/2014
L6110,Katerina’s Café,13.83,01/08/2014
L9018,Frydos Autosupply n' More,214.07,01/08/2014
L6267,Frydos Autosupply n' More,268.89,01/08/2014
L6417,Hippokampos,16.75,01/08/2014
L2343,Katerina’s Café,16.93,01/08/2014
